year,variable,value,week,nem,date,date_week
2015,ferfi_0–34,16,52,ferfi,2015-12-28,2015_52
2016,ferfi_0–34,17,52,ferfi,2016-12-26,2016_52
2017,ferfi_0–34,28,52,ferfi,2017-12-25,2017_52
2018,ferfi_0–34,23,52,ferfi,2018-12-31,2018_52
2019,ferfi_0–34,18,52,ferfi,2019-12-30,2019_52
2020,ferfi_0–34,28,52,ferfi,2020-12-28,2020_52
2015,ferfi_35–39,10,52,ferfi,2015-12-28,2015_52
2016,ferfi_35–39,12,52,ferfi,2016-12-26,2016_52
2017,ferfi_35–39,9,52,ferfi,2017-12-25,2017_52
2018,ferfi_35–39,5,52,ferfi,2018-12-31,2018_52
2019,ferfi_35–39,12,52,ferfi,2019-12-30,2019_52
2020,ferfi_35–39,5,52,ferfi,2020-12-28,2020_52
2015,ferfi_40–44,18,52,ferfi,2015-12-28,2015_52
2016,ferfi_40–44,21,52,ferfi,2016-12-26,2016_52
2017,ferfi_40–44,14,52,ferfi,2017-12-25,2017_52
2018,ferfi_40–44,21,52,ferfi,2018-12-31,2018_52
2019,ferfi_40–44,15,52,ferfi,2019-12-30,2019_52
2020,ferfi_40–44,21,52,ferfi,2020-12-28,2020_52
2015,ferfi_45–49,42,52,ferfi,2015-12-28,2015_52
2016,ferfi_45–49,38,52,ferfi,2016-12-26,2016_52
2017,ferfi_45–49,37,52,ferfi,2017-12-25,2017_52
2018,ferfi_45–49,35,52,ferfi,2018-12-31,2018_52
2019,ferfi_45–49,19,52,ferfi,2019-12-30,2019_52
2020,ferfi_45–49,35,52,ferfi,2020-12-28,2020_52
2015,ferfi_50–54,66,52,ferfi,2015-12-28,2015_52
2016,ferfi_50–54,62,52,ferfi,2016-12-26,2016_52
2017,ferfi_50–54,57,52,ferfi,2017-12-25,2017_52
2018,ferfi_50–54,53,52,ferfi,2018-12-31,2018_52
2019,ferfi_50–54,57,52,ferfi,2019-12-30,2019_52
2020,ferfi_50–54,76,52,ferfi,2020-12-28,2020_52
2015,ferfi_55–59,110,52,ferfi,2015-12-28,2015_52
2016,ferfi_55–59,79,52,ferfi,2016-12-26,2016_52
2017,ferfi_55–59,81,52,ferfi,2017-12-25,2017_52
2018,ferfi_55–59,106,52,ferfi,2018-12-31,2018_52
2019,ferfi_55–59,83,52,ferfi,2019-12-30,2019_52
2020,ferfi_55–59,110,52,ferfi,2020-12-28,2020_52
2015,ferfi_60–64,160,52,ferfi,2015-12-28,2015_52
2016,ferfi_60–64,169,52,ferfi,2016-12-26,2016_52
2017,ferfi_60–64,192,52,ferfi,2017-12-25,2017_52
2018,ferfi_60–64,168,52,ferfi,2018-12-31,2018_52
2019,ferfi_60–64,141,52,ferfi,2019-12-30,2019_52
2020,ferfi_60–64,176,52,ferfi,2020-12-28,2020_52
2015,ferfi_65–69,162,52,ferfi,2015-12-28,2015_52
2016,ferfi_65–69,192,52,ferfi,2016-12-26,2016_52
2017,ferfi_65–69,177,52,ferfi,2017-12-25,2017_52
2018,ferfi_65–69,194,52,ferfi,2018-12-31,2018_52
2019,ferfi_65–69,200,52,ferfi,2019-12-30,2019_52
2020,ferfi_65–69,250,52,ferfi,2020-12-28,2020_52
2015,ferfi_70–74,162,52,ferfi,2015-12-28,2015_52
2016,ferfi_70–74,196,52,ferfi,2016-12-26,2016_52
2017,ferfi_70–74,157,52,ferfi,2017-12-25,2017_52
2018,ferfi_70–74,193,52,ferfi,2018-12-31,2018_52
2019,ferfi_70–74,158,52,ferfi,2019-12-30,2019_52
2020,ferfi_70–74,242,52,ferfi,2020-12-28,2020_52
2015,ferfi_75–79,158,52,ferfi,2015-12-28,2015_52
2016,ferfi_75–79,169,52,ferfi,2016-12-26,2016_52
2017,ferfi_75–79,178,52,ferfi,2017-12-25,2017_52
2018,ferfi_75–79,184,52,ferfi,2018-12-31,2018_52
2019,ferfi_75–79,171,52,ferfi,2019-12-30,2019_52
2020,ferfi_75–79,270,52,ferfi,2020-12-28,2020_52
2015,ferfi_80–84,172,52,ferfi,2015-12-28,2015_52
2016,ferfi_80–84,174,52,ferfi,2016-12-26,2016_52
2017,ferfi_80–84,146,52,ferfi,2017-12-25,2017_52
2018,ferfi_80–84,180,52,ferfi,2018-12-31,2018_52
2019,ferfi_80–84,153,52,ferfi,2019-12-30,2019_52
2020,ferfi_80–84,187,52,ferfi,2020-12-28,2020_52
2015,ferfi_85–89,102,52,ferfi,2015-12-28,2015_52
2016,ferfi_85–89,156,52,ferfi,2016-12-26,2016_52
2017,ferfi_85–89,126,52,ferfi,2017-12-25,2017_52
2018,ferfi_85–89,131,52,ferfi,2018-12-31,2018_52
2019,ferfi_85–89,122,52,ferfi,2019-12-30,2019_52
2020,ferfi_85–89,162,52,ferfi,2020-12-28,2020_52
2015,ferfi_90,64,52,ferfi,2015-12-28,2015_52
2016,ferfi_90,92,52,ferfi,2016-12-26,2016_52
2017,ferfi_90,83,52,ferfi,2017-12-25,2017_52
2018,ferfi_90,80,52,ferfi,2018-12-31,2018_52
2019,ferfi_90,76,52,ferfi,2019-12-30,2019_52
2020,ferfi_90,98,52,ferfi,2020-12-28,2020_52
2015,ferfi_osszesen,1242,52,ferfi,2015-12-28,2015_52
2016,ferfi_osszesen,1377,52,ferfi,2016-12-26,2016_52
2017,ferfi_osszesen,1285,52,ferfi,2017-12-25,2017_52
2018,ferfi_osszesen,1373,52,ferfi,2018-12-31,2018_52
2019,ferfi_osszesen,1225,52,ferfi,2019-12-30,2019_52
2020,ferfi_osszesen,1660,52,ferfi,2020-12-28,2020_52
2015,no_0–34,8,52,no,2015-12-28,2015_52
2016,no_0–34,6,52,no,2016-12-26,2016_52
2017,no_0–34,12,52,no,2017-12-25,2017_52
2018,no_0–34,7,52,no,2018-12-31,2018_52
2019,no_0–34,10,52,no,2019-12-30,2019_52
2020,no_0–34,10,52,no,2020-12-28,2020_52
2015,no_35–39,6,52,no,2015-12-28,2015_52
2016,no_35–39,6,52,no,2016-12-26,2016_52
2017,no_35–39,6,52,no,2017-12-25,2017_52
2018,no_35–39,2,52,no,2018-12-31,2018_52
2019,no_35–39,1,52,no,2019-12-30,2019_52
2020,no_35–39,3,52,no,2020-12-28,2020_52
2015,no_40–44,9,52,no,2015-12-28,2015_52
2016,no_40–44,14,52,no,2016-12-26,2016_52
2017,no_40–44,7,52,no,2017-12-25,2017_52
2018,no_40–44,12,52,no,2018-12-31,2018_52
2019,no_40–44,8,52,no,2019-12-30,2019_52
2020,no_40–44,13,52,no,2020-12-28,2020_52
2015,no_45–49,12,52,no,2015-12-28,2015_52
2016,no_45–49,13,52,no,2016-12-26,2016_52
2017,no_45–49,16,52,no,2017-12-25,2017_52
2018,no_45–49,17,52,no,2018-12-31,2018_52
2019,no_45–49,10,52,no,2019-12-30,2019_52
2020,no_45–49,23,52,no,2020-12-28,2020_52
2015,no_50–54,22,52,no,2015-12-28,2015_52
2016,no_50–54,21,52,no,2016-12-26,2016_52
2017,no_50–54,29,52,no,2017-12-25,2017_52
2018,no_50–54,22,52,no,2018-12-31,2018_52
2019,no_50–54,19,52,no,2019-12-30,2019_52
2020,no_50–54,36,52,no,2020-12-28,2020_52
2015,no_55–59,53,52,no,2015-12-28,2015_52
2016,no_55–59,54,52,no,2016-12-26,2016_52
2017,no_55–59,57,52,no,2017-12-25,2017_52
2018,no_55–59,48,52,no,2018-12-31,2018_52
2019,no_55–59,44,52,no,2019-12-30,2019_52
2020,no_55–59,50,52,no,2020-12-28,2020_52
2015,no_60–64,102,52,no,2015-12-28,2015_52
2016,no_60–64,80,52,no,2016-12-26,2016_52
2017,no_60–64,70,52,no,2017-12-25,2017_52
2018,no_60–64,88,52,no,2018-12-31,2018_52
2019,no_60–64,62,52,no,2019-12-30,2019_52
2020,no_60–64,67,52,no,2020-12-28,2020_52
2015,no_65–69,98,52,no,2015-12-28,2015_52
2016,no_65–69,128,52,no,2016-12-26,2016_52
2017,no_65–69,109,52,no,2017-12-25,2017_52
2018,no_65–69,129,52,no,2018-12-31,2018_52
2019,no_65–69,98,52,no,2019-12-30,2019_52
2020,no_65–69,153,52,no,2020-12-28,2020_52
2015,no_70–74,114,52,no,2015-12-28,2015_52
2016,no_70–74,151,52,no,2016-12-26,2016_52
2017,no_70–74,129,52,no,2017-12-25,2017_52
2018,no_70–74,147,52,no,2018-12-31,2018_52
2019,no_70–74,133,52,no,2019-12-30,2019_52
2020,no_70–74,197,52,no,2020-12-28,2020_52
2015,no_75–79,195,52,no,2015-12-28,2015_52
2016,no_75–79,209,52,no,2016-12-26,2016_52
2017,no_75–79,191,52,no,2017-12-25,2017_52
2018,no_75–79,199,52,no,2018-12-31,2018_52
2019,no_75–79,174,52,no,2019-12-30,2019_52
2020,no_75–79,237,52,no,2020-12-28,2020_52
2015,no_80–84,229,52,no,2015-12-28,2015_52
2016,no_80–84,259,52,no,2016-12-26,2016_52
2017,no_80–84,261,52,no,2017-12-25,2017_52
2018,no_80–84,263,52,no,2018-12-31,2018_52
2019,no_80–84,252,52,no,2019-12-30,2019_52
2020,no_80–84,331,52,no,2020-12-28,2020_52
2015,no_85–89,236,52,no,2015-12-28,2015_52
2016,no_85–89,311,52,no,2016-12-26,2016_52
2017,no_85–89,250,52,no,2017-12-25,2017_52
2018,no_85–89,283,52,no,2018-12-31,2018_52
2019,no_85–89,266,52,no,2019-12-30,2019_52
2020,no_85–89,385,52,no,2020-12-28,2020_52
2015,no_90,189,52,no,2015-12-28,2015_52
2016,no_90,268,52,no,2016-12-26,2016_52
2017,no_90,206,52,no,2017-12-25,2017_52
2018,no_90,270,52,no,2018-12-31,2018_52
2019,no_90,193,52,no,2019-12-30,2019_52
2020,no_90,313,52,no,2020-12-28,2020_52
2015,no_osszesen,1274,52,no,2015-12-28,2015_52
2016,no_osszesen,1520,52,no,2016-12-26,2016_52
2017,no_osszesen,1343,52,no,2017-12-25,2017_52
2018,no_osszesen,1487,52,no,2018-12-31,2018_52
2019,no_osszesen,1270,52,no,2019-12-30,2019_52
2020,no_osszesen,1818,52,no,2020-12-28,2020_52
2015,all_0–34,24,52,all,2015-12-28,2015_52
2016,all_0–34,23,52,all,2016-12-26,2016_52
2017,all_0–34,40,52,all,2017-12-25,2017_52
2018,all_0–34,30,52,all,2018-12-31,2018_52
2019,all_0–34,28,52,all,2019-12-30,2019_52
2020,all_0–34,38,52,all,2020-12-28,2020_52
2015,all_35–39,17,52,all,2015-12-28,2015_52
2016,all_35–39,18,52,all,2016-12-26,2016_52
2017,all_35–39,15,52,all,2017-12-25,2017_52
2018,all_35–39,7,52,all,2018-12-31,2018_52
2019,all_35–39,13,52,all,2019-12-30,2019_52
2020,all_35–39,8,52,all,2020-12-28,2020_52
2015,all_40–44,28,52,all,2015-12-28,2015_52
2016,all_40–44,35,52,all,2016-12-26,2016_52
2017,all_40–44,21,52,all,2017-12-25,2017_52
2018,all_40–44,33,52,all,2018-12-31,2018_52
2019,all_40–44,23,52,all,2019-12-30,2019_52
2020,all_40–44,34,52,all,2020-12-28,2020_52
2015,all_45–49,53,52,all,2015-12-28,2015_52
2016,all_45–49,51,52,all,2016-12-26,2016_52
2017,all_45–49,53,52,all,2017-12-25,2017_52
2018,all_45–49,52,52,all,2018-12-31,2018_52
2019,all_45–49,29,52,all,2019-12-30,2019_52
2020,all_45–49,58,52,all,2020-12-28,2020_52
2015,all_50–54,87,52,all,2015-12-28,2015_52
2016,all_50–54,83,52,all,2016-12-26,2016_52
2017,all_50–54,86,52,all,2017-12-25,2017_52
2018,all_50–54,75,52,all,2018-12-31,2018_52
2019,all_50–54,76,52,all,2019-12-30,2019_52
2020,all_50–54,112,52,all,2020-12-28,2020_52
2015,all_55–59,164,52,all,2015-12-28,2015_52
2016,all_55–59,133,52,all,2016-12-26,2016_52
2017,all_55–59,138,52,all,2017-12-25,2017_52
2018,all_55–59,154,52,all,2018-12-31,2018_52
2019,all_55–59,127,52,all,2019-12-30,2019_52
2020,all_55–59,160,52,all,2020-12-28,2020_52
2015,all_60–64,262,52,all,2015-12-28,2015_52
2016,all_60–64,249,52,all,2016-12-26,2016_52
2017,all_60–64,262,52,all,2017-12-25,2017_52
2018,all_60–64,256,52,all,2018-12-31,2018_52
2019,all_60–64,203,52,all,2019-12-30,2019_52
2020,all_60–64,243,52,all,2020-12-28,2020_52
2015,all_65–69,260,52,all,2015-12-28,2015_52
2016,all_65–69,320,52,all,2016-12-26,2016_52
2017,all_65–69,286,52,all,2017-12-25,2017_52
2018,all_65–69,323,52,all,2018-12-31,2018_52
2019,all_65–69,298,52,all,2019-12-30,2019_52
2020,all_65–69,403,52,all,2020-12-28,2020_52
2015,all_70–74,276,52,all,2015-12-28,2015_52
2016,all_70–74,347,52,all,2016-12-26,2016_52
2017,all_70–74,286,52,all,2017-12-25,2017_52
2018,all_70–74,340,52,all,2018-12-31,2018_52
2019,all_70–74,291,52,all,2019-12-30,2019_52
2020,all_70–74,439,52,all,2020-12-28,2020_52
2015,all_75–79,352,52,all,2015-12-28,2015_52
2016,all_75–79,378,52,all,2016-12-26,2016_52
2017,all_75–79,369,52,all,2017-12-25,2017_52
2018,all_75–79,383,52,all,2018-12-31,2018_52
2019,all_75–79,345,52,all,2019-12-30,2019_52
2020,all_75–79,507,52,all,2020-12-28,2020_52
2015,all_80–84,402,52,all,2015-12-28,2015_52
2016,all_80–84,433,52,all,2016-12-26,2016_52
2017,all_80–84,407,52,all,2017-12-25,2017_52
2018,all_80–84,443,52,all,2018-12-31,2018_52
2019,all_80–84,405,52,all,2019-12-30,2019_52
2020,all_80–84,518,52,all,2020-12-28,2020_52
2015,all_85–89,338,52,all,2015-12-28,2015_52
2016,all_85–89,467,52,all,2016-12-26,2016_52
2017,all_85–89,376,52,all,2017-12-25,2017_52
2018,all_85–89,414,52,all,2018-12-31,2018_52
2019,all_85–89,388,52,all,2019-12-30,2019_52
2020,all_85–89,547,52,all,2020-12-28,2020_52
2015,all_90,254,52,all,2015-12-28,2015_52
2016,all_90,360,52,all,2016-12-26,2016_52
2017,all_90,289,52,all,2017-12-25,2017_52
2018,all_90,350,52,all,2018-12-31,2018_52
2019,all_90,269,52,all,2019-12-30,2019_52
2020,all_90,411,52,all,2020-12-28,2020_52
2015,all_osszesen,2516,52,all,2015-12-28,2015_52
2016,all_osszesen,2897,52,all,2016-12-26,2016_52
2017,all_osszesen,2628,52,all,2017-12-25,2017_52
2018,all_osszesen,2860,52,all,2018-12-31,2018_52
2019,all_osszesen,2495,52,all,2019-12-30,2019_52
2020,all_osszesen,3478,52,all,2020-12-28,2020_52
2015,ferfi_0–34,19,1,ferfi,2015-01-05,2015_1
2015,ferfi_0–34,25,2,ferfi,2015-01-12,2015_2
2015,ferfi_0–34,21,3,ferfi,2015-01-19,2015_3
2015,ferfi_0–34,24,4,ferfi,2015-01-26,2015_4
2015,ferfi_0–34,19,5,ferfi,2015-02-02,2015_5
2015,ferfi_0–34,22,6,ferfi,2015-02-09,2015_6
2015,ferfi_0–34,13,7,ferfi,2015-02-16,2015_7
2015,ferfi_0–34,26,8,ferfi,2015-02-23,2015_8
2015,ferfi_0–34,16,9,ferfi,2015-03-02,2015_9
2015,ferfi_0–34,27,10,ferfi,2015-03-09,2015_10
2015,ferfi_0–34,21,11,ferfi,2015-03-16,2015_11
2015,ferfi_0–34,13,12,ferfi,2015-03-23,2015_12
2015,ferfi_0–34,22,13,ferfi,2015-03-30,2015_13
2015,ferfi_0–34,19,14,ferfi,2015-04-06,2015_14
2015,ferfi_0–34,19,15,ferfi,2015-04-13,2015_15
2015,ferfi_0–34,18,16,ferfi,2015-04-20,2015_16
2015,ferfi_0–34,22,17,ferfi,2015-04-27,2015_17
2015,ferfi_0–34,17,18,ferfi,2015-05-04,2015_18
2015,ferfi_0–34,29,19,ferfi,2015-05-11,2015_19
2015,ferfi_0–34,26,20,ferfi,2015-05-18,2015_20
2015,ferfi_0–34,21,21,ferfi,2015-05-25,2015_21
2015,ferfi_0–34,25,22,ferfi,2015-06-01,2015_22
2015,ferfi_0–34,33,23,ferfi,2015-06-08,2015_23
2015,ferfi_0–34,23,24,ferfi,2015-06-15,2015_24
2015,ferfi_0–34,21,25,ferfi,2015-06-22,2015_25
2015,ferfi_0–34,30,26,ferfi,2015-06-29,2015_26
2015,ferfi_0–34,22,27,ferfi,2015-07-06,2015_27
2015,ferfi_0–34,29,28,ferfi,2015-07-13,2015_28
2015,ferfi_0–34,34,29,ferfi,2015-07-20,2015_29
2015,ferfi_0–34,45,30,ferfi,2015-07-27,2015_30
2015,ferfi_0–34,19,31,ferfi,2015-08-03,2015_31
2015,ferfi_0–34,29,32,ferfi,2015-08-10,2015_32
2015,ferfi_0–34,19,33,ferfi,2015-08-17,2015_33
2015,ferfi_0–34,24,34,ferfi,2015-08-24,2015_34
2015,ferfi_0–34,23,35,ferfi,2015-08-31,2015_35
2015,ferfi_0–34,17,36,ferfi,2015-09-07,2015_36
2015,ferfi_0–34,28,37,ferfi,2015-09-14,2015_37
2015,ferfi_0–34,22,38,ferfi,2015-09-21,2015_38
2015,ferfi_0–34,18,39,ferfi,2015-09-28,2015_39
2015,ferfi_0–34,15,40,ferfi,2015-10-05,2015_40
2015,ferfi_0–34,21,41,ferfi,2015-10-12,2015_41
2015,ferfi_0–34,23,42,ferfi,2015-10-19,2015_42
2015,ferfi_0–34,26,43,ferfi,2015-10-26,2015_43
2015,ferfi_0–34,19,44,ferfi,2015-11-02,2015_44
2015,ferfi_0–34,26,45,ferfi,2015-11-09,2015_45
2015,ferfi_0–34,29,46,ferfi,2015-11-16,2015_46
2015,ferfi_0–34,16,47,ferfi,2015-11-23,2015_47
2015,ferfi_0–34,20,48,ferfi,2015-11-30,2015_48
2015,ferfi_0–34,21,49,ferfi,2015-12-07,2015_49
2015,ferfi_0–34,28,50,ferfi,2015-12-14,2015_50
2015,ferfi_0–34,24,51,ferfi,2015-12-21,2015_51
2016,ferfi_0–34,23,1,ferfi,2016-01-04,2016_1
2016,ferfi_0–34,19,2,ferfi,2016-01-11,2016_2
2016,ferfi_0–34,24,3,ferfi,2016-01-18,2016_3
2016,ferfi_0–34,12,4,ferfi,2016-01-25,2016_4
2016,ferfi_0–34,15,5,ferfi,2016-02-01,2016_5
2016,ferfi_0–34,24,6,ferfi,2016-02-08,2016_6
2016,ferfi_0–34,19,7,ferfi,2016-02-15,2016_7
2016,ferfi_0–34,29,8,ferfi,2016-02-22,2016_8
2016,ferfi_0–34,19,9,ferfi,2016-02-29,2016_9
2016,ferfi_0–34,15,10,ferfi,2016-03-07,2016_10
2016,ferfi_0–34,19,11,ferfi,2016-03-14,2016_11
2016,ferfi_0–34,25,12,ferfi,2016-03-21,2016_12
2016,ferfi_0–34,16,13,ferfi,2016-03-28,2016_13
2016,ferfi_0–34,21,14,ferfi,2016-04-04,2016_14
2016,ferfi_0–34,27,15,ferfi,2016-04-11,2016_15
2016,ferfi_0–34,16,16,ferfi,2016-04-18,2016_16
2016,ferfi_0–34,19,17,ferfi,2016-04-25,2016_17
2016,ferfi_0–34,16,18,ferfi,2016-05-02,2016_18
2016,ferfi_0–34,20,19,ferfi,2016-05-09,2016_19
2016,ferfi_0–34,17,20,ferfi,2016-05-16,2016_20
2016,ferfi_0–34,19,21,ferfi,2016-05-23,2016_21
2016,ferfi_0–34,26,22,ferfi,2016-05-30,2016_22
2016,ferfi_0–34,23,23,ferfi,2016-06-06,2016_23
2016,ferfi_0–34,23,24,ferfi,2016-06-13,2016_24
2016,ferfi_0–34,21,25,ferfi,2016-06-20,2016_25
2016,ferfi_0–34,26,26,ferfi,2016-06-27,2016_26
2016,ferfi_0–34,34,27,ferfi,2016-07-04,2016_27
2016,ferfi_0–34,26,28,ferfi,2016-07-11,2016_28
2016,ferfi_0–34,22,29,ferfi,2016-07-18,2016_29
2016,ferfi_0–34,24,30,ferfi,2016-07-25,2016_30
2016,ferfi_0–34,17,31,ferfi,2016-08-01,2016_31
2016,ferfi_0–34,26,32,ferfi,2016-08-08,2016_32
2016,ferfi_0–34,17,33,ferfi,2016-08-15,2016_33
2016,ferfi_0–34,12,34,ferfi,2016-08-22,2016_34
2016,ferfi_0–34,19,35,ferfi,2016-08-29,2016_35
2016,ferfi_0–34,21,36,ferfi,2016-09-05,2016_36
2016,ferfi_0–34,27,37,ferfi,2016-09-12,2016_37
2016,ferfi_0–34,29,38,ferfi,2016-09-19,2016_38
2016,ferfi_0–34,24,39,ferfi,2016-09-26,2016_39
2016,ferfi_0–34,23,40,ferfi,2016-10-03,2016_40
2016,ferfi_0–34,17,41,ferfi,2016-10-10,2016_41
2016,ferfi_0–34,21,42,ferfi,2016-10-17,2016_42
2016,ferfi_0–34,17,43,ferfi,2016-10-24,2016_43
2016,ferfi_0–34,12,44,ferfi,2016-10-31,2016_44
2016,ferfi_0–34,13,45,ferfi,2016-11-07,2016_45
2016,ferfi_0–34,20,46,ferfi,2016-11-14,2016_46
2016,ferfi_0–34,22,47,ferfi,2016-11-21,2016_47
2016,ferfi_0–34,14,48,ferfi,2016-11-28,2016_48
2016,ferfi_0–34,23,49,ferfi,2016-12-05,2016_49
2016,ferfi_0–34,19,50,ferfi,2016-12-12,2016_50
2016,ferfi_0–34,21,51,ferfi,2016-12-19,2016_51
2017,ferfi_0–34,26,1,ferfi,2017-01-02,2017_1
2017,ferfi_0–34,11,2,ferfi,2017-01-09,2017_2
2017,ferfi_0–34,26,3,ferfi,2017-01-16,2017_3
2017,ferfi_0–34,26,4,ferfi,2017-01-23,2017_4
2017,ferfi_0–34,24,5,ferfi,2017-01-30,2017_5
2017,ferfi_0–34,21,6,ferfi,2017-02-06,2017_6
2017,ferfi_0–34,20,7,ferfi,2017-02-13,2017_7
2017,ferfi_0–34,24,8,ferfi,2017-02-20,2017_8
2017,ferfi_0–34,9,9,ferfi,2017-02-27,2017_9
2017,ferfi_0–34,16,10,ferfi,2017-03-06,2017_10
2017,ferfi_0–34,23,11,ferfi,2017-03-13,2017_11
2017,ferfi_0–34,19,12,ferfi,2017-03-20,2017_12
2017,ferfi_0–34,21,13,ferfi,2017-03-27,2017_13
2017,ferfi_0–34,20,14,ferfi,2017-04-03,2017_14
2017,ferfi_0–34,24,15,ferfi,2017-04-10,2017_15
2017,ferfi_0–34,20,16,ferfi,2017-04-17,2017_16
2017,ferfi_0–34,25,17,ferfi,2017-04-24,2017_17
2017,ferfi_0–34,25,18,ferfi,2017-05-01,2017_18
2017,ferfi_0–34,25,19,ferfi,2017-05-08,2017_19
2017,ferfi_0–34,22,20,ferfi,2017-05-15,2017_20
2017,ferfi_0–34,17,21,ferfi,2017-05-22,2017_21
2017,ferfi_0–34,25,22,ferfi,2017-05-29,2017_22
2017,ferfi_0–34,22,23,ferfi,2017-06-05,2017_23
2017,ferfi_0–34,20,24,ferfi,2017-06-12,2017_24
2017,ferfi_0–34,14,25,ferfi,2017-06-19,2017_25
2017,ferfi_0–34,27,26,ferfi,2017-06-26,2017_26
2017,ferfi_0–34,18,27,ferfi,2017-07-03,2017_27
2017,ferfi_0–34,19,28,ferfi,2017-07-10,2017_28
2017,ferfi_0–34,19,29,ferfi,2017-07-17,2017_29
2017,ferfi_0–34,20,30,ferfi,2017-07-24,2017_30
2017,ferfi_0–34,33,31,ferfi,2017-07-31,2017_31
2017,ferfi_0–34,26,32,ferfi,2017-08-07,2017_32
2017,ferfi_0–34,15,33,ferfi,2017-08-14,2017_33
2017,ferfi_0–34,22,34,ferfi,2017-08-21,2017_34
2017,ferfi_0–34,18,35,ferfi,2017-08-28,2017_35
2017,ferfi_0–34,17,36,ferfi,2017-09-04,2017_36
2017,ferfi_0–34,23,37,ferfi,2017-09-11,2017_37
2017,ferfi_0–34,21,38,ferfi,2017-09-18,2017_38
2017,ferfi_0–34,20,39,ferfi,2017-09-25,2017_39
2017,ferfi_0–34,20,40,ferfi,2017-10-02,2017_40
2017,ferfi_0–34,26,41,ferfi,2017-10-09,2017_41
2017,ferfi_0–34,14,42,ferfi,2017-10-16,2017_42
2017,ferfi_0–34,24,43,ferfi,2017-10-23,2017_43
2017,ferfi_0–34,22,44,ferfi,2017-10-30,2017_44
2017,ferfi_0–34,20,45,ferfi,2017-11-06,2017_45
2017,ferfi_0–34,18,46,ferfi,2017-11-13,2017_46
2017,ferfi_0–34,29,47,ferfi,2017-11-20,2017_47
2017,ferfi_0–34,19,48,ferfi,2017-11-27,2017_48
2017,ferfi_0–34,16,49,ferfi,2017-12-04,2017_49
2017,ferfi_0–34,25,50,ferfi,2017-12-11,2017_50
2017,ferfi_0–34,24,51,ferfi,2017-12-18,2017_51
2018,ferfi_0–34,22,1,ferfi,2018-01-08,2018_1
2018,ferfi_0–34,21,2,ferfi,2018-01-15,2018_2
2018,ferfi_0–34,16,3,ferfi,2018-01-22,2018_3
2018,ferfi_0–34,25,4,ferfi,2018-01-29,2018_4
2018,ferfi_0–34,22,5,ferfi,2018-02-05,2018_5
2018,ferfi_0–34,27,6,ferfi,2018-02-12,2018_6
2018,ferfi_0–34,24,7,ferfi,2018-02-19,2018_7
2018,ferfi_0–34,14,8,ferfi,2018-02-26,2018_8
2018,ferfi_0–34,21,9,ferfi,2018-03-05,2018_9
2018,ferfi_0–34,18,10,ferfi,2018-03-12,2018_10
2018,ferfi_0–34,18,11,ferfi,2018-03-19,2018_11
2018,ferfi_0–34,17,12,ferfi,2018-03-26,2018_12
2018,ferfi_0–34,28,13,ferfi,2018-04-02,2018_13
2018,ferfi_0–34,25,14,ferfi,2018-04-09,2018_14
2018,ferfi_0–34,25,15,ferfi,2018-04-16,2018_15
2018,ferfi_0–34,18,16,ferfi,2018-04-23,2018_16
2018,ferfi_0–34,19,17,ferfi,2018-04-30,2018_17
2018,ferfi_0–34,13,18,ferfi,2018-05-07,2018_18
2018,ferfi_0–34,23,19,ferfi,2018-05-14,2018_19
2018,ferfi_0–34,17,20,ferfi,2018-05-21,2018_20
2018,ferfi_0–34,19,21,ferfi,2018-05-28,2018_21
2018,ferfi_0–34,20,22,ferfi,2018-06-04,2018_22
2018,ferfi_0–34,18,23,ferfi,2018-06-11,2018_23
2018,ferfi_0–34,22,24,ferfi,2018-06-18,2018_24
2018,ferfi_0–34,19,25,ferfi,2018-06-25,2018_25
2018,ferfi_0–34,18,26,ferfi,2018-07-02,2018_26
2018,ferfi_0–34,25,27,ferfi,2018-07-09,2018_27
2018,ferfi_0–34,26,28,ferfi,2018-07-16,2018_28
2018,ferfi_0–34,25,29,ferfi,2018-07-23,2018_29
2018,ferfi_0–34,17,30,ferfi,2018-07-30,2018_30
2018,ferfi_0–34,30,31,ferfi,2018-08-06,2018_31
2018,ferfi_0–34,19,32,ferfi,2018-08-13,2018_32
2018,ferfi_0–34,20,33,ferfi,2018-08-20,2018_33
2018,ferfi_0–34,16,34,ferfi,2018-08-27,2018_34
2018,ferfi_0–34,19,35,ferfi,2018-09-03,2018_35
2018,ferfi_0–34,18,36,ferfi,2018-09-10,2018_36
2018,ferfi_0–34,15,37,ferfi,2018-09-17,2018_37
2018,ferfi_0–34,24,38,ferfi,2018-09-24,2018_38
2018,ferfi_0–34,17,39,ferfi,2018-10-01,2018_39
2018,ferfi_0–34,16,40,ferfi,2018-10-08,2018_40
2018,ferfi_0–34,16,41,ferfi,2018-10-15,2018_41
2018,ferfi_0–34,19,42,ferfi,2018-10-22,2018_42
2018,ferfi_0–34,20,43,ferfi,2018-10-29,2018_43
2018,ferfi_0–34,11,44,ferfi,2018-11-05,2018_44
2018,ferfi_0–34,18,45,ferfi,2018-11-12,2018_45
2018,ferfi_0–34,18,46,ferfi,2018-11-19,2018_46
2018,ferfi_0–34,17,47,ferfi,2018-11-26,2018_47
2018,ferfi_0–34,19,48,ferfi,2018-12-03,2018_48
2018,ferfi_0–34,23,49,ferfi,2018-12-10,2018_49
